environment,environment_name,algorithm,algorithm_display,center,lower,upper,n_runs,final_x,final_x_unit,x_axis,center_stat,band,normalized_by_expert
hopper,Hopper,SAMfO/DACfO,SAMfO/DACfO,0.7060981959786622,0.22905906071435356,1.1831373312429707,3,10000000.0,steps,steps,median,std,True
hopper,Hopper,OPOLO,OPOLO,0.7306512558090893,0.39751732935110673,1.0637851822670719,3,10000000.0,steps,steps,median,std,True
hopper,Hopper,GAIfO,GAIfO,0.8476680822585103,0.747708023271083,0.9476281412459376,3,10000000.0,steps,steps,median,std,True
hopper,Hopper,MAAD,MAAD,0.7518386218659202,0.5775896291572331,0.9260876145746073,3,10000000.0,steps,steps,median,std,True
hopper,Hopper,ILD,ILD,0.7422464888639203,0.6387399395194991,0.8457530382083415,3,10000000.0,steps,steps,median,std,True
hopper,Hopper,FOCUS-l2,FOCUS-l2,0.947238786905697,0.9328535368334187,0.9616240369779753,6,10000000.0,steps,steps,median,std,True
hopper,Hopper,FOCUS-OT-l2,FOCUS-OT-l2,0.9905453655000801,0.9705683871502845,1.0105223438498756,6,10000000.0,steps,steps,median,std,True
hopper,Hopper,FOCUS-OT-cos,FOCUS-OT-cos,0.9850927336392785,0.981002405110278,0.989183062168279,6,10000000.0,steps,steps,median,std,True
hopper,Hopper,ZOCUS-SAC-l2,ZOCUS-SAC-l2,0.494678685122936,0.14892600070649464,0.8404313695393774,6,10000000.0,steps,steps,median,std,True
hopper,Hopper,ZOCUS-SAC-OT-l2,ZOCUS-SAC-OT-l2,0.33784877069888947,-0.035402229449382594,0.7110997708471616,6,10000000.0,steps,steps,median,std,True
hopper,Hopper,ZOCUS-SAC-OT-cos,ZOCUS-SAC-OT-cos,0.8437947898385272,0.8121385514455978,0.8754510282314566,6,10000000.0,steps,steps,median,std,True
hopper,Hopper,ZOCUS-PPO-l2,ZOCUS-PPO-l2,0.6568718889919654,0.5161046827591236,0.7976390952248071,6,10000000.0,steps,steps,median,std,True
hopper,Hopper,ZOCUS-PPO-OT-l2,ZOCUS-PPO-OT-l2,0.9217145378146019,0.8243576495092378,1.0190714261199658,5,10000000.0,steps,steps,median,std,True
hopper,Hopper,ZOCUS-PPO-OT-cos,ZOCUS-PPO-OT-cos,0.5878820529805091,0.36235444179888165,0.8134096641621366,6,10000000.0,steps,steps,median,std,True
ant,Ant,SAMfO/DACfO,SAMfO/DACfO,0.09616664948242244,0.08513320594440663,0.10720009302043826,3,10000000.0,steps,steps,median,std,True
ant,Ant,OPOLO,OPOLO,0.13084920676708534,0.10015921140639389,0.16153920212777678,3,10000000.0,steps,steps,median,std,True
ant,Ant,GAIfO,GAIfO,0.09414309409054522,0.07473670171904176,0.11354948646204868,3,10000000.0,steps,steps,median,std,True
ant,Ant,MAAD,MAAD,0.093669581622134,0.05041920631185534,0.13691995693241266,3,10000000.0,steps,steps,median,std,True
ant,Ant,ILD,ILD,0.08022465499878764,0.05331534840305706,0.10713396159451823,10,10000000.0,steps,steps,median,std,True
ant,Ant,FOCUS-l2,FOCUS-l2,0.3847002372556847,0.1776744315456919,0.5917260429656774,6,10000000.0,steps,steps,median,std,True
ant,Ant,FOCUS-ot-l2,FOCUS-OT-l2,0.9796384379438403,0.7455135647601665,1.2137633111275141,6,10000000.0,steps,steps,median,std,True
ant,Ant,FOCUS-ot-cos,FOCUS-OT-cos,0.8990795799641615,0.773510019068039,1.0246491408602842,6,10000000.0,steps,steps,median,std,True
ant,Ant,ZOCUS-SAC-l2,ZOCUS-SAC-l2,0.28311182161741566,0.15876581606080228,0.407457827174029,6,10000000.0,steps,steps,median,std,True
ant,Ant,ZOCUS-SAC-OT-l2,ZOCUS-SAC-OT-l2,0.1417390949535135,0.0879008279100951,0.1955773619969319,6,10000000.0,steps,steps,median,std,True
ant,Ant,ZOCUS-SAC-OT-cos,ZOCUS-SAC-OT-cos,0.1990096793300388,0.16287380185452668,0.2351455568055509,6,10000000.0,steps,steps,median,std,True
ant,Ant,ZOCUS-PPO-l2,ZOCUS-PPO-l2,0.11746900659301873,-0.013895753265456168,0.24883376645149363,6,10000000.0,steps,steps,median,std,True
ant,Ant,ZOCUS-PPO-OT-l2,ZOCUS-PPO-OT-l2,0.1510247147760066,0.0919201277365097,0.2101293018155035,6,10000000.0,steps,steps,median,std,True
ant,Ant,ZOCUS-PPO-OT-cos,ZOCUS-PPO-OT-cos,0.10520064227894205,0.0746097017125261,0.135791582845358,6,10000000.0,steps,steps,median,std,True
humanoid,Humanoid,SAMfO/DACfO,SAMfO/DACfO,0.5573467213032326,0.4482668552163853,0.6664265873900799,3,15000000.0,steps,steps,median,std,True
humanoid,Humanoid,OPOLO,OPOLO,0.456662201394767,0.41788483553007355,0.4954395672594604,3,15000000.0,steps,steps,median,std,True
humanoid,Humanoid,GAIfO,GAIfO,0.1591409626851067,0.08983877658749698,0.2284431487827164,3,15000000.0,steps,steps,median,std,True
humanoid,Humanoid,MAAD,MAAD,0.25438791769568897,0.22555046084745914,0.2832253745439188,3,15000000.0,steps,steps,median,std,True
humanoid,Humanoid,ILD,ILD,0.01678798565181936,-0.398180972859328,0.4317569441629668,10,15000000.0,steps,steps,median,std,True
humanoid,Humanoid,FOCUS-l2,FOCUS-l2,0.5730622160193474,0.42646173248939945,0.7196626995492953,6,15000000.0,steps,steps,median,std,True
humanoid,Humanoid,FOCUS-ot-l2,FOCUS-OT-l2,0.7776286040622249,0.49238681370472853,1.0628703944197213,6,15000000.0,steps,steps,median,std,True
humanoid,Humanoid,FOCUS-ot-cos,FOCUS-OT-cos,0.9139236016714729,0.6369701951046514,1.1908770082382945,6,15000000.0,steps,steps,median,std,True
humanoid,Humanoid,ZOCUS-SAC-l2,ZOCUS-SAC-l2,0.21993793154647123,0.2050728710743704,0.23480299201857208,6,15000000.0,steps,steps,median,std,True
humanoid,Humanoid,ZOCUS-SAC-OT-l2,ZOCUS-SAC-OT-l2,0.21499740282749918,0.17646730185896514,0.2535275037960332,6,15000000.0,steps,steps,median,std,True
humanoid,Humanoid,ZOCUS-SAC-OT-cos,ZOCUS-SAC-OT-cos,0.2309747420316164,0.18746334625299688,0.2744861378102359,6,15000000.0,steps,steps,median,std,True
humanoid,Humanoid,ZOCUS-PPO-l2,ZOCUS-PPO-l2,0.10292758985116485,0.050807966455783136,0.15504721324654655,6,15000000.0,steps,steps,median,std,True
humanoid,Humanoid,ZOCUS-PPO-OT-l2,ZOCUS-PPO-OT-l2,0.04512598349947971,0.005551743442605325,0.08470022355635409,6,15000000.0,steps,steps,median,std,True
humanoid,Humanoid,ZOCUS-PPO-OT-cos,ZOCUS-PPO-OT-cos,0.14458035995541857,0.11343649355538138,0.17572422635545576,6,15000000.0,steps,steps,median,std,True
snu_humanoid,SNU Humanoid,SAMfO/DACfO,SAMfO/DACfO,0.05981042574238197,0.03132002892887557,0.08830082255588836,3,15000000.0,steps,steps,median,std,True
snu_humanoid,SNU Humanoid,OPOLO,OPOLO,0.072699545150709,0.0674430288093221,0.07795606149209591,3,15000000.0,steps,steps,median,std,True
snu_humanoid,SNU Humanoid,GAIfO,GAIfO,0.010527422065469362,-0.00489636254733552,0.025951206678274247,3,15000000.0,steps,steps,median,std,True
snu_humanoid,SNU Humanoid,MAAD,MAAD,0.023747108429154763,-0.023971614125374206,0.07146583098368373,3,15000000.0,steps,steps,median,std,True
snu_humanoid,SNU Humanoid,ILD,ILD,0.12420527403442516,-0.12364036859563193,0.37205091666448226,4,15000000.0,steps,steps,median,std,True
snu_humanoid,SNU Humanoid,FOCUS-l2,FOCUS-l2,0.6347143169194864,0.45599792181486776,0.8134307120241051,6,15000000.0,steps,steps,median,std,True
snu_humanoid,SNU Humanoid,FOCUS-ot-l2,FOCUS-OT-l2,0.9100424105657625,0.896851747583283,0.923233073548242,6,15000000.0,steps,steps,median,std,True
