environment,environment_name,algorithm,algorithm_display,center,lower,upper,n_runs,final_x,final_x_unit,x_axis,center_stat,band,normalized_by_expert
hopper,Hopper,SAMfO/DACfO,SAMfO/DACfO,0.7060981959786622,-0.2456149227855126,0.7251005953809373,3,10000000.0,steps,steps,median,95ci,True
hopper,Hopper,OPOLO,OPOLO,0.7306512558090893,0.09720954451941835,0.8009368163535664,3,10000000.0,steps,steps,median,95ci,True
hopper,Hopper,GAIfO,GAIfO,0.8476680822585103,0.6542223235945175,0.8628117226389421,3,10000000.0,steps,steps,median,95ci,True
hopper,Hopper,MAAD,MAAD,0.7518386218659202,0.4027227159460378,0.7558839306124715,3,10000000.0,steps,steps,median,95ci,True
hopper,Hopper,ILD,ILD,0.7422464888639203,0.7416114680013671,0.9505202748540482,3,10000000.0,steps,steps,median,95ci,True
hopper,Hopper,FOCUS-l2,FOCUS-l2,0.947238786905697,0.9386078112750109,0.9779227973198018,6,10000000.0,steps,steps,median,95ci,True
hopper,Hopper,FOCUS-OT-l2,FOCUS-OT-l2,0.9905453655000801,0.945222142311537,0.9961414219437148,6,10000000.0,steps,steps,median,95ci,True
hopper,Hopper,FOCUS-OT-cos,FOCUS-OT-cos,0.9850927336392785,0.9779823747045593,0.9889449911135997,6,10000000.0,steps,steps,median,95ci,True
hopper,Hopper,ZOCUS-SAC-l2,ZOCUS-SAC-l2,0.7023916049389213,0.1172214460518253,0.8640139428424894,5,10000000.0,steps,steps,median,95ci,True
hopper,Hopper,ZOCUS-SAC-OT-l2,ZOCUS-SAC-OT-l2,0.33784877069888947,-0.08565911184897365,0.8820126115088737,6,10000000.0,steps,steps,median,95ci,True
hopper,Hopper,ZOCUS-SAC-OT-cos,ZOCUS-SAC-OT-cos,0.8437947898385272,0.7904030302871003,0.8788445133191396,6,10000000.0,steps,steps,median,95ci,True
hopper,Hopper,ZOCUS-PPO-l2,ZOCUS-PPO-l2,0.6568718889919654,0.516682245168449,0.8426335307524873,6,10000000.0,steps,steps,median,95ci,True
hopper,Hopper,ZOCUS-PPO-OT-l2,ZOCUS-PPO-OT-l2,0.9217145378146019,0.705917316665304,0.9354479614020618,5,10000000.0,steps,steps,median,95ci,True
hopper,Hopper,ZOCUS-PPO-OT-cos,ZOCUS-PPO-OT-cos,0.5878820529805091,0.38997981331803355,0.9096083498251266,6,10000000.0,steps,steps,median,95ci,True
ant,Ant,SAMfO/DACfO,SAMfO/DACfO,0.09616664948242244,0.0958941304336825,0.11826433222941239,3,10000000.0,steps,steps,median,95ci,True
ant,Ant,OPOLO,OPOLO,0.13084920676708534,0.08464571769217902,0.15490805332664043,3,10000000.0,steps,steps,median,95ci,True
ant,Ant,GAIfO,GAIfO,0.09414309409054522,0.0892859585033997,0.1305964717073651,3,10000000.0,steps,steps,median,95ci,True
ant,Ant,MAAD,MAAD,0.093669581622134,0.03739812084567409,0.1377979213244874,3,10000000.0,steps,steps,median,95ci,True
ant,Ant,ILD,ILD,0.08022465499878764,0.052458985712084086,0.1307088053274774,10,10000000.0,steps,steps,median,95ci,True
ant,Ant,FOCUS-l2,FOCUS-l2,0.3847002372556847,0.24548712538798861,0.8294665255396991,6,10000000.0,steps,steps,median,95ci,True
ant,Ant,FOCUS-ot-l2,FOCUS-OT-l2,0.9796384379438403,0.47630756235075195,0.9937295026194242,6,10000000.0,steps,steps,median,95ci,True
