environment,environment_name,algorithm,algorithm_display,center,lower,upper,n_runs,final_x,final_x_unit,x_axis,center_stat,band,normalized_by_expert
hopper,Hopper,SAMfO/DACfO,SAMfO/DACfO,0.6092659322365318,0.4884599321439198,0.7300719323291438,3,1.999899331000116,hours,time,mean,std,True
hopper,Hopper,OPOLO,OPOLO,0.7788102242528575,0.7437797102328663,0.8138407382728488,3,1.9998849417765936,hours,time,mean,std,True
hopper,Hopper,GAIfO,GAIfO,0.6239752523279841,0.3932852457070348,0.8546652589489334,3,1.9999022065268623,hours,time,mean,std,True
hopper,Hopper,MAAD,MAAD,0.6826135431614392,0.5599135746345214,0.805313511688357,3,1.9997563736380555,hours,time,mean,std,True
hopper,Hopper,ILD,ILD,0.8378337489300701,0.8095126753580791,0.8661548225020611,3,1.9998588525586658,hours,time,mean,std,True
hopper,Hopper,FOCUS-l2,FOCUS-l2,0.9589302952909299,0.9531891360959552,0.9646714544859045,6,1.999629613359769,hours,time,mean,std,True
hopper,Hopper,FOCUS-OT-l2,FOCUS-OT-l2,0.9619554968631848,0.9296529355355493,0.9942580581908204,6,1.9997452678283056,hours,time,mean,std,True
hopper,Hopper,FOCUS-OT-cos,FOCUS-OT-cos,0.9779019382591044,0.9585211353864013,0.9972827411318076,6,1.9996564344565073,hours,time,mean,std,True
hopper,Hopper,ZOCUS-SAC-l2,ZOCUS-SAC-l2,0.581581153952768,0.24400625941835663,0.9191560484871794,5,1.4123504761433332,hours,time,mean,std,True
hopper,Hopper,ZOCUS-SAC-OT-l2,ZOCUS-SAC-OT-l2,0.40147853331722977,0.015663990310427922,0.7872930763240316,6,1.3780066572866667,hours,time,mean,std,True
hopper,Hopper,ZOCUS-SAC-OT-cos,ZOCUS-SAC-OT-cos,0.7623331223405065,0.41876813945992253,1.1058981052210906,6,1.4914444225019443,hours,time,mean,std,True
hopper,Hopper,ZOCUS-PPO-l2,ZOCUS-PPO-l2,0.5587942714648267,0.5033217095645521,0.6142668333651014,6,1.4930463499583333,hours,time,mean,std,True
hopper,Hopper,ZOCUS-PPO-OT-l2,ZOCUS-PPO-OT-l2,0.8187942987192628,0.7189646814918514,0.9186239159466741,5,1.493398760471389,hours,time,mean,std,True
hopper,Hopper,ZOCUS-PPO-OT-cos,ZOCUS-PPO-OT-cos,0.6546311627835543,0.45623043147688513,0.8530318940902234,6,1.4936955769752778,hours,time,mean,std,True
ant,Ant,SAMfO/DACfO,SAMfO/DACfO,0.19444311654492727,0.09891879135468473,0.2899674417351698,3,2.9999330972300635,hours,time,mean,std,True
ant,Ant,OPOLO,OPOLO,0.1835129364794733,0.050741052416272414,0.3162848205426742,3,2.999799679319064,hours,time,mean,std,True
